sim_id,trial_id,p_diff,n_raters,scores_per_r,total_scores,propz_pval,bht_pval
674,0,0.055,32,41,1300,0.2652345323273017,0.30121951219512194
7,0,0.055,21,62,1300,0.0029043389811369,0.02396313364055299
174,0,0.055,20,66,1300,0.0666872727098572,0.17234848484848475
341,0,0.055,37,36,1300,0.0350577240883701,0.10833333333333328
508,0,0.055,14,96,1300,0.0002461919613262,0.0048363095238094
841,0,0.055,26,50,1300,0.0171196850604098,0.114
8,0,0.055,62,21,1300,0.010929554424728,0.050921658986175
675,0,0.055,27,49,1300,0.000490119541773,0.01080876795162502
175,0,0.055,18,74,1300,0.0643045173114047,0.1473723723723723
342,0,0.055,23,57,1300,0.0014087756059532,0.04958047292143399
509,0,0.055,24,56,1300,4.116423661288743e-05,0.0
676,0,0.055,21,63,1300,0.3038040503306111,0.29576719576719573
9,0,0.055,35,38,1300,0.000112760128643,0.0087969924812029
